indiv_ind_ts_code,indiv_ind_trade_date,indiv_ind_close,indiv_ind_open,indiv_ind_high,indiv_ind_low,indiv_ind_pre_close,indiv_ind_change,indiv_ind_pct_chg,indiv_ind_vol,indiv_ind_amount
000905.SH,20250630,5915.3876,5877.6748,5918.3068,5872.2251,5863.7282,51.6594,0.881,166275147.0,226516690.563
000905.SH,20250627,5863.7282,5850.4252,5905.6962,5839.5775,5838.2454,25.4828,0.4365,199389725.0,243302989.3
000905.SH,20250626,5838.2454,5868.2924,5885.2508,5835.3395,5862.5529,-24.3075,-0.4146,180164163.0,235223723.202
000905.SH,20250625,5862.5529,5777.7404,5866.5246,5776.1237,5765.8373,96.7156,1.6774,184632310.0,239260448.528
000905.SH,20250624,5765.8373,5683.4622,5766.0189,5683.4622,5674.1704,91.6669,1.6155,142082256.0,191935453.605
000905.SH,20250623,5674.1704,5613.2813,5684.3973,5613.2813,5639.513,34.6574,0.6145,111601802.0,146034994.435
000905.SH,20250620,5639.513,5669.0901,5688.7362,5636.7846,5676.8317,-37.3187,-0.6574,101794766.0,135042595.006
000905.SH,20250619,5676.8317,5733.8068,5750.4643,5660.0504,5745.8714,-69.0397,-1.2016,125531134.0,162657974.788
000905.SH,20250618,5745.8714,5740.1556,5753.7124,5709.8031,5750.9122,-5.0408,-0.0877,112703844.0,154540142.783
000905.SH,20250617,5750.9122,5772.296,5776.6325,5734.829,5767.8083,-16.8961,-0.2929,121526624.0,160121673.882
000905.SH,20250616,5767.8083,5725.0029,5775.9487,5725.0029,5740.2397,27.5686,0.4803,128242658.0,170989175.829
000905.SH,20250613,5740.2397,5783.156,5794.6698,5728.2114,5799.9319,-59.6922,-1.0292,167613374.0,216010351.563
000905.SH,20250612,5799.9319,5780.967,5808.8047,5766.5212,5792.9464,6.9855,0.1206,125615846.0,165393538.363
000905.SH,20250611,5792.9464,5758.5287,5818.5734,5758.5287,5757.9921,34.9543,0.6071,123716707.0,161353672.422
000905.SH,20250610,5757.9921,5809.8283,5810.9224,5715.9712,5805.6543,-47.6622,-0.821,138269181.0,182980299.992
000905.SH,20250609,5805.6543,5772.7792,5823.899,5765.3547,5762.0778,43.5765,0.7563,128188619.0,171482411.226
