indiv_din_ts_code,indiv_din_trade_date,indiv_din_close,indiv_din_turnover_rate,indiv_din_turnover_rate_f,indiv_din_volume_ratio,indiv_din_pe,indiv_din_pe_ttm,indiv_din_pb,indiv_din_ps,indiv_din_ps_ttm,indiv_din_dv_ratio,indiv_din_dv_ttm,indiv_din_total_share,indiv_din_float_share,indiv_din_free_share,indiv_din_total_mv,indiv_din_circ_mv
002594.SZ,20240416,211.63,0.8445,1.1977,1.01,20.5083,20.5083,4.4383,1.0229,1.0229,0.5396,0.5396,291114.2855,116426.2051,82094.8131,61608516.2404,24639277.7853
002594.SZ,20240415,213.62,0.9734,1.3798,1.13,20.7011,20.7011,4.4801,1.0325,1.0325,0.5346,0.5346,291114.2855,116426.2051,82139.1731,62187833.6685,24870965.9335
002594.SZ,20240412,210.6,0.987,1.3991,1.22,20.4085,20.4085,4.4167,1.0179,1.0179,0.5423,0.5423,291114.2855,116426.2051,82139.1731,61308668.5263,24519358.7941
002594.SZ,20240411,212.98,0.8662,1.2278,1.06,20.6391,20.6391,4.4666,1.0294,1.0294,0.5362,0.5362,291114.2855,116426.2051,82139.1731,62001520.5258,24796453.1622
002594.SZ,20240410,211.84,0.6219,0.8816,0.66,20.5286,20.5286,4.4427,1.0239,1.0239,0.5391,0.5391,291114.2855,116426.2051,82139.1731,61669650.2403,24663727.2884
002594.SZ,20240409,212.08,0.7233,1.0252,0.7,20.5519,20.5519,4.4478,1.025,1.025,0.5385,0.5385,291114.2855,116426.2051,82139.1731,61739517.6688,24691669.5776
002594.SZ,20240408,212.0,1.1014,1.5611,1.01,20.5441,20.5441,4.4461,1.0246,1.0246,0.5387,0.5387,291114.2855,116426.2051,82139.1731,61716228.526,24682355.4812
002594.SZ,20240403,208.16,0.7183,1.0182,0.56,20.172,20.172,4.3656,1.0061,1.0061,0.5486,0.5486,291114.2855,116426.2051,82139.1731,60598349.6697,24235278.8536
002594.SZ,20240402,212.34,0.9241,1.3098,0.7,20.5771,20.5771,4.4532,1.0263,1.0263,0.5378,0.5378,291114.2855,116426.2051,82139.1731,61815207.3831,24721940.3909
002594.SZ,20240401,212.01,1.2275,1.7398,0.99,20.5451,20.5451,4.4463,1.0247,1.0247,0.5387,0.5387,291114.2855,116426.2051,82139.1731,61719139.6689,24683519.7433
002594.SZ,20240329,203.06,1.2143,1.7212,1.03,19.6778,19.6778,4.2586,0.9814,0.9814,0.5624,0.5624,291114.2855,116426.2051,82139.1731,59113666.8136,23641505.2076
002594.SZ,20240328,208.38,1.3694,1.941,1.3,20.1933,20.1933,4.3702,1.0072,1.0072,0.548,0.548,291114.2855,116426.2051,82139.1731,60662394.8125,24260892.6187
002594.SZ,20240327,211.98,1.622,2.2991,1.81,20.5422,20.5422,4.4457,1.0246,1.0246,0.5387,0.5387,291114.2855,116426.2051,82139.1731,61710406.2403,24680026.9571
002594.SZ,20240326,219.6,1.1282,1.6043,1.22,38.4593,22.292,4.9231,1.5075,1.1048,0.52,0.52,291114.2855,116426.2051,81869.3161,63928697.0958,25567194.64
002594.SZ,20240325,214.2,0.8513,1.2106,0.78,37.5135,21.7438,4.802,1.4705,1.0776,0.5331,0.5331,291114.2855,116426.2051,81869.3161,62356679.9541,24938493.1324
002594.SZ,20240322,216.95,0.899,1.2785,0.77,37.9952,22.023,4.8636,1.4893,1.0915,0.5264,0.5264,291114.2855,116426.2051,81869.3161,63157244.2392,25258665.1964
002594.SZ,20240321,218.95,0.7616,1.083,0.56,38.3454,22.226,4.9085,1.5031,1.1015,0.5216,0.5216,291114.2855,116426.2051,81869.3161,63739472.8102,25491517.6066
002594.SZ,20240320,218.48,0.8315,1.1824,0.55,38.2631,22.1783,4.8979,1.4998,1.0992,0.5227,0.5227,291114.2855,116426.2051,81869.3161,63602649.096,25436797.2902
002594.SZ,20240319,216.8,1.2624,1.7952,0.75,37.9689,22.0078,4.8603,1.4883,1.0907,0.5268,0.5268,291114.2855,116426.2051,81869.3161,63113577.0964,25241201.2657
