indiv_din_ts_code,indiv_din_trade_date,indiv_din_close,indiv_din_turnover_rate,indiv_din_turnover_rate_f,indiv_din_volume_ratio,indiv_din_pe,indiv_din_pe_ttm,indiv_din_pb,indiv_din_ps,indiv_din_ps_ttm,indiv_din_dv_ratio,indiv_din_dv_ttm,indiv_din_total_share,indiv_din_float_share,indiv_din_free_share,indiv_din_total_mv,indiv_din_circ_mv
600519.SH,20240509,1756.0,0.1782,0.4077,0.65,29.5164,28.2789,9.2015,14.9355,14.2579,2.5636,2.5636,125619.78,125619.78,54913.6536,220588333.68,220588333.68
600519.SH,20240508,1763.97,0.1176,0.269,0.39,29.6504,28.4073,9.2432,15.0033,14.3226,2.552,2.552,125619.78,125619.78,54913.6536,221589523.3266,221589523.3266
600519.SH,20240507,1770.0,0.1984,0.4539,0.7,29.7518,28.5044,9.2748,15.0546,14.3716,2.5433,2.5433,125619.78,125619.78,54913.6536,222347010.6,222347010.6
600519.SH,20240506,1760.2,0.4769,1.091,2.22,29.587,28.3466,9.2235,14.9713,14.292,2.5575,2.5575,125619.78,125619.78,54913.6536,221115936.756,221115936.756
600519.SH,20240430,1705.0,0.2449,0.5602,1.19,28.6592,27.4576,8.9342,14.5018,13.8438,2.6403,2.6403,125619.78,125619.78,54913.6536,214181724.9,214181724.9
600519.SH,20240429,1704.0,0.329,0.7527,1.76,28.6424,27.4415,8.929,14.4933,13.8357,2.6418,2.6418,125619.78,125619.78,54913.6536,214056105.12,214056105.12
600519.SH,20240426,1709.43,0.2467,0.5644,1.41,28.7336,28.7336,9.9569,14.5394,14.5394,2.6335,2.6335,125619.78,125619.78,54913.6536,214738220.5254,214738220.5254
600519.SH,20240425,1693.04,0.1152,0.2636,0.59,28.4581,28.4581,9.8614,14.4,14.4,2.6589,2.6589,125619.78,125619.78,54913.6536,212679312.3312,212679312.3312
600519.SH,20240424,1693.6,0.136,0.3112,0.66,28.4676,28.4676,9.8647,14.4048,14.4048,2.6581,2.6581,125619.78,125619.78,54913.6536,212749659.408,212749659.408
600519.SH,20240423,1692.28,0.1989,0.4549,0.95,28.4454,28.4454,9.857,14.3936,14.3936,2.6601,2.6601,125619.78,125619.78,54913.6536,212583841.2984,212583841.2984
