indiv_d_ts_code,indiv_d_trade_date,indiv_d_open,indiv_d_high,indiv_d_low,indiv_d_close,indiv_d_pre_close,indiv_d_change,indiv_d_pct_chg,indiv_d_vol,indiv_d_amount
600519.SH,20240604,12890.39,13012.19,12859.36,12990.18,12881.67,108.51000000000022,0.84,20841.08,3432497.303
600519.SH,20240603,12965.04,12972.27,12848.04,12881.67,12952.86,-71.19000000000051,-0.55,30261.05,4966041.477
600519.SH,20240531,12968.97,13071.12,12952.86,12952.86,12957.18,-4.319999999999709,-0.03,21856.65,3617654.788
600519.SH,20240530,13161.48,13164.47,12957.18,12957.18,13153.62,-196.4400000000005,-1.49,32207.92,5333306.808
600519.SH,20240529,13090.76,13200.77,13082.9,13153.62,13080.08,73.54000000000087,0.56,19651.28,3289173.345
600519.SH,20240528,13125.34,13162.82,13067.19,13080.08,13123.13,-43.04999999999927,-0.33,23520.87,3923020.375
600519.SH,20240527,13185.05,13259.31,13106.56,13123.13,13177.82,-54.69000000000051,-0.42,25097.91,4199001.866
600519.SH,20240524,13302.92,13318.63,13177.2,13177.82,13295.14,-117.31999999999971,-0.88,20216.63,3401323.915
600519.SH,20240523,13357.92,13408.05,13279.97,13295.14,13339.93,-44.79000000000087,-0.34,18884.97,3199923.32
600519.SH,20240522,13381.49,13436.18,13287.2,13339.93,13397.21,-57.279999999998836,-0.43,20285.68,3443977.767
600519.SH,20240521,13420.78,13434.37,13343.46,13397.21,13428.64,-31.43000000000029,-0.23,16293.39,2776847.499
600519.SH,20240520,13499.28,13617.14,13421.65,13428.64,13475.78,-47.14000000000124,-0.35,31425.72,5401389.335
600519.SH,20240517,13358.0,13488.2,13357.92,13475.78,13393.28,82.5,0.62,28923.88,4936920.634
600519.SH,20240516,13397.21,13435.55,13279.34,13393.28,13357.92,35.36000000000058,0.26,29679.54,5048754.769
600519.SH,20240515,13378.19,13420.78,13346.84,13357.92,13373.48,-15.55999999999949,-0.12,15738.76,2677203.002
600519.SH,20240514,13404.99,13462.19,13358.0,13373.48,13405.07,-31.590000000000146,-0.24,21274.17,3623282.672
600519.SH,20240513,13609.52,13614.55,13367.51,13405.07,13664.21,-259.1399999999994,-1.9,37662.12,6435415.674
600519.SH,20240510,13838.02,13891.29,13625.0,13664.21,13797.95,-133.7400000000016,-0.97,26206.61,4571398.242
600519.SH,20240509,13813.66,13868.51,13750.8,13797.95,13860.57,-62.61999999999898,-0.45,22387.34,3929804.849
600519.SH,20240508,13905.52,13907.72,13795.35,13860.57,13907.95,-47.38000000000102,-0.34,14769.09,2603293.863
600519.SH,20240507,13874.87,13969.24,13803.29,13907.95,13830.95,77.0,0.56,24924.52,4413196.426
600519.SH,20240506,13624.84,13868.66,13570.08,13830.95,13397.21,433.7400000000016,3.24,59909.49,10504351.712
600519.SH,20240430,13397.29,13592.71,13397.21,13397.21,13389.35,7.859999999998763,0.06,30759.89,5273902.374
600519.SH,20240429,13333.95,13577.93,13309.36,13389.35,13432.02,-42.67000000000007,-0.32,41332.23,7072096.59
600519.SH,20240426,13310.77,13467.93,13310.62,13432.02,13303.23,128.79000000000087,0.97,30995.92,5290248.521
600519.SH,20240425,13281.94,13323.35,13218.45,13303.23,13307.63,-4.399999999999636,-0.03,14476.48,2447183.879
600519.SH,20240424,13334.19,13357.21,13226.93,13307.63,13297.26,10.369999999998981,0.08,17086.43,2893555.635
600519.SH,20240423,13161.48,13318.63,13161.48,13297.26,13161.95,135.3099999999995,1.03,24979.95,4217855.279
600519.SH,20240422,12996.47,13191.97,12925.75,13161.95,12938.64,223.3100000000013,1.73,29951.39,5001684.635
600519.SH,20240419,13049.74,13110.41,12896.52,12938.64,13128.32,-189.6800000000003,-1.44,23499.92,3879233.242
600519.SH,20240418,13035.84,13224.18,13029.32,13128.32,13098.62,29.69999999999891,0.23,26568.41,4445487.745
600519.SH,20240417,13106.48,13163.05,13027.9,13098.62,13122.19,-23.56999999999971,-0.18,24819.11,4130322.018
600519.SH,20240416,13086.75,13197.31,13035.76,13122.19,13145.61,-23.420000000000073,-0.18,26266.23,4382796.962
600519.SH,20240415,12847.25,13166.27,12847.02,13145.61,12839.55,306.0600000000013,2.38,35817.71,5960815.532
600519.SH,20240412,12972.9,13075.05,12839.55,12839.55,12949.32,-109.77000000000044,-0.85,26744.33,4403968.129
600519.SH,20240411,12887.33,12965.04,12844.74,12949.32,12949.17,0.1499999999996362,0.0,22766.24,3736417.595
600519.SH,20240410,13061.45,13082.83,12925.75,12949.17,13061.06,-111.88999999999942,-0.86,27630.5,4562853.88
600519.SH,20240409,13048.88,13145.76,13031.44,13061.06,13095.95,-34.89000000000124,-0.27,25589.82,4256226.333
600519.SH,20240408,13318.63,13326.49,13064.05,13095.95,13476.65,-380.6999999999989,-2.82,59166.59,9907355.766
600519.SH,20240403,13625.08,13667.82,13436.65,13476.65,13467.85,8.799999999999272,0.07,29045.8,5002390.042
600519.SH,20240402,13530.79,13554.28,13397.6,13467.85,13525.52,-57.67000000000007,-0.43,25449.25,4360973.684
600519.SH,20240401,13436.42,13625.08,13426.28,13525.52,13380.71,144.8100000000013,1.08,27131.37,4679371.035
600519.SH,20240329,13370.81,13444.28,13342.99,13380.71,13370.81,9.899999999999636,0.07,13456.55,2290584.417
600519.SH,20240328,13318.63,13499.36,13304.49,13370.81,13365.78,5.029999999998836,0.04,24642.18,4201857.059
600519.SH,20240327,13397.21,13452.21,13350.06,13365.78,13430.92,-65.13999999999942,-0.49,18112.58,3087792.98
600519.SH,20240326,13259.39,13458.5,13259.39,13430.92,13271.56,159.36000000000058,1.2,28069.07,4782899.074
600519.SH,20240325,13346.45,13348.26,13205.33,13271.56,13368.53,-96.97000000000116,-0.73,24472.85,4131446.237
600519.SH,20240322,13397.44,13428.56,13263.63,13368.53,13428.64,-60.10999999999876,-0.45,25456.14,4318592.818
600519.SH,20240321,13421.57,13507.21,13393.28,13428.64,13433.35,-4.710000000000946,-0.04,16595.97,2839332.631
600519.SH,20240320,13384.32,13465.41,13359.73,13433.35,13420.94,12.409999999999854,0.09,15249.25,2604543.856
600519.SH,20240319,13381.49,13514.6,13303.78,13420.94,13422.82,-1.8799999999991996,-0.01,23947.53,4093701.261
600519.SH,20240318,13475.78,13513.89,13350.06,13422.82,13495.35,-72.53000000000065,-0.54,26055.01,4446059.13
600519.SH,20240315,13456.14,13612.51,13452.21,13495.35,13488.59,6.760000000000218,0.05,17833.58,3066692.399
600519.SH,20240314,13507.21,13631.68,13448.28,13488.59,13573.61,-85.02000000000044,-0.63,19404.79,3338768.308
600519.SH,20240313,13671.99,13735.08,13515.86,13573.61,13711.51,-137.89999999999964,-1.01,26499.54,4588879.42
