macro_im_ts_code,macro_im_open,macro_im_close,macro_im_high,macro_im_low,macro_im_pre_close,macro_im_change,macro_im_pct_chg,macro_im_swing,macro_im_vol,trade_date
SPX,6193.88,6227.42,6227.6,6188.29,6198.01,29.41,0.47,0.63,3137017.0,20250702
SPX,6187.25,6198.01,6210.78,6177.97,6204.95,-6.94,-0.11,0.53,3552404.0,20250701
SPX,6193.36,6204.95,6215.08,6174.97,6173.07,31.88,0.52,0.65,3341749.0,20250630
SPX,6150.7,6173.07,6187.68,6132.35,6141.02,32.05,0.52,0.9,4593036.0,20250627
SPX,6112.09,6141.02,6146.52,6107.27,6092.16,48.86,0.8,0.64,3030187.0,20250626
SPX,6104.23,6092.16,6108.51,6080.09,6092.18,-0.02,0.0,0.47,2877947.0,20250625
SPX,6061.21,6092.18,6101.76,6059.25,6025.17,67.01,1.11,0.71,3266927.0,20250624
SPX,5969.67,6025.17,6028.77,5943.23,5967.84,57.33,0.96,1.43,3240747.0,20250623
SPX,5999.67,5967.84,6018.2,5952.56,5980.87,-13.03,-0.22,1.1,5166023.0,20250620
SPX,5987.93,5980.87,6018.25,5971.89,5982.72,-1.85,-0.03,0.77,2941500.0,20250618
SPX,6012.15,5982.72,6023.25,5974.8,6033.11,-50.39,-0.84,0.8,2830518.0,20250617
SPX,6004.0,6033.11,6050.83,6004.0,5976.97,56.14,0.94,0.78,2870307.0,20250616
SPX,6000.56,5976.97,6026.16,5963.21,6045.26,-68.29,-1.13,1.04,3001802.0,20250613
SPX,6009.9,6045.26,6045.43,6003.88,6022.24,23.02,0.38,0.69,2614509.0,20250612
SPX,6049.38,6022.24,6059.4,6002.32,6038.81,-16.57,-0.27,0.95,2978585.0,20250611
SPX,6009.91,6038.81,6043.01,6000.28,6005.88,32.93,0.55,0.71,2976909.0,20250610
SPX,6004.63,6005.88,6021.31,5994.18,6000.36,5.52,0.09,0.45,2882904.0,20250609
SPX,5987.06,6000.36,6016.87,5978.63,5939.3,61.06,1.03,0.64,2557851.0,20250606
SPX,5985.67,5939.3,5999.7,5921.2,5970.81,-31.51,-0.53,1.31,3128217.0,20250605
SPX,5978.94,5970.81,5990.48,5966.11,5970.37,0.44,0.01,0.41,2680332.0,20250604
SPX,5938.56,5970.37,5981.35,5929.0,5935.94,34.43,0.58,0.88,2959610.0,20250603
SPX,5896.68,5935.94,5937.4,5861.43,5911.69,24.25,0.41,1.29,2747395.0,20250602
SPX,5903.67,5911.69,5922.14,5843.66,5912.17,-0.48,-0.01,1.33,4812539.0,20250530
