macro_im_ts_code,macro_im_open,macro_im_close,macro_im_high,macro_im_low,macro_im_pre_close,macro_im_change,macro_im_pct_chg,macro_im_swing,macro_im_vol,trade_date
HSI,20471.99,20079.1,20783.35,19977.35,20286.85,-207.75,-1.02,3.97,3646903.0,20241017
HSI,20144.75,20286.85,20548.18,20131.34,20318.79,-31.94,-0.16,2.05,4158740.0,20241016
HSI,21046.19,20318.79,21095.01,20154.71,21092.87,-774.08,-3.67,4.46,4906379.0,20241015
HSI,21228.65,21092.87,21348.86,20693.75,21251.98,-159.11,-0.75,3.08,5743338.0,20241014
HSI,21046.0,21251.98,21622.65,20983.94,20637.24,614.74,2.98,3.09,6039903.0,20241010
HSI,21290.04,20637.24,21417.75,20190.53,20926.79,-289.55,-1.38,5.86,7953636.0,20241009
HSI,22849.23,20926.79,22902.36,20762.82,23099.78,-2172.99,-9.41,9.26,11257877.0,20241008
HSI,22948.35,23099.78,23241.74,22719.91,22736.87,362.91,1.6,2.3,5098398.0,20241007
HSI,22015.08,22736.87,22742.36,21824.68,22113.51,623.36,2.82,4.15,4619951.0,20241004
HSI,22484.04,22113.51,22484.04,21442.25,22443.73,-330.22,-1.47,4.64,4942181.0,20241003
HSI,21289.6,22443.73,22667.74,21289.6,21133.68,1310.05,6.2,6.52,7696287.0,20241002
HSI,21175.41,21133.68,21488.75,20789.93,20632.3,501.38,2.43,3.39,10357063.0,20240930
HSI,20446.74,20632.3,20743.2,20268.63,19924.58,707.72,3.55,2.38,9656093.0,20240927
HSI,19302.57,19924.58,19954.06,19176.58,19129.1,795.48,4.16,4.06,7428256.0,20240926
HSI,19592.43,19129.1,19592.43,19072.72,19000.56,128.54,0.68,2.74,6507489.0,20240925
HSI,18573.92,19000.56,19002.05,18532.28,18247.11,753.45,4.13,2.57,6008421.0,20240924
HSI,18237.41,18247.11,18426.92,18212.58,18258.57,-11.46,-0.06,1.17,2724524.0,20240923
HSI,18069.33,18258.57,18355.15,18047.13,18013.16,245.41,1.36,1.71,4005307.0,20240920
HSI,17633.93,18013.16,18071.1,17602.45,17660.02,353.14,2.0,2.65,3436673.0,20240919
