market_margin_trade_date,market_margin_exchange_id,market_margin_rzye,market_margin_rzmre,market_margin_rzche,market_margin_rqye,market_margin_rqmcl,market_margin_rzrqye,market_margin_rqyl
20240719,SZSE,669152771500.0,25006137055.0,27002590061.0,10121224100.0,36365338.0,679273995600.0,1597150029.0
20240718,BSE,1047758974.0,105725750.0,142045142.0,19277.0,0.0,1047778251.0,1816.0
20240718,SSE,744135145022.0,27331538360.0,29815453172.0,19276381261.0,104154322.0,763411526283.0,4264094335.0
20240718,SZSE,671164398645.0,25830824542.0,28027655267.0,10233665510.0,53819472.0,681398064155.0,1623182058.0
20240717,SSE,746642183806.0,27404146944.0,29814700876.0,19365945530.0,69772560.0,766008129336.0,4279202696.0
20240717,BSE,1050418729.0,176519596.0,205921285.0,20023.0,0.0,1050438752.0,1816.0
20240717,SZSE,673380411946.0,26376256964.0,29007714877.0,10297215862.0,45118630.0,683677627808.0,1630456953.0
20240716,BSE,1040562718.0,57792898.0,89987355.0,19034.0,0.0,1040581752.0,1816.0
20240716,SSE,749061682416.0,25795829835.0,27125525947.0,19675872030.0,86310019.0,768737554446.0,4303710432.0
20240716,SZSE,676031463314.0,27993641770.0,27015948779.0,10545587942.0,44006671.0,686577051256.0,1648165518.0
20240715,SSE,750396440884.0,22917414714.0,24426503579.0,19757407656.0,98502098.0,770153848540.0,4319869143.0
20240715,BSE,1039297990.0,31709280.0,61860545.0,18656.0,0.0,1039316646.0,1816.0
20240715,SZSE,675074485766.0,23492042747.0,23846795397.0,10514421097.0,51708963.0,685588906863.0,1653924168.0
20240712,SSE,751929369568.0,26953321817.0,29837862136.0,20071733715.0,90767613.0,772001103283.0,4321635987.0
20240712,BSE,1035289268.0,30864265.0,62943920.0,121559.0,0.0,1035410827.0,18760.0
20240712,SZSE,675446370307.0,28664874233.0,30471021991.0,10894936234.0,40521659.0,686341306541.0,1670355187.0
20240711,BSE,1039240704.0,43030635.0,67441880.0,121357.0,0.0,1039362061.0,18760.0
20240711,SSE,754826838907.0,32250009426.0,32144934502.0,20488640024.0,96596279.0,775315478931.0,4337952494.0
20240711,SZSE,677277483376.0,35804263629.0,32984316449.0,11274400993.0,42586147.0,688551884369.0,1713980014.0
20240710,SSE,754728176771.0,27651205220.0,28997934246.0,20623155875.0,152636436.0,775351332646.0,4452695486.0
20240710,BSE,1030672870.0,26511192.0,87255628.0,199798.0,0.0,1030872668.0,46963.0
20240710,SZSE,674499181963.0,26742136696.0,27513527744.0,11227656110.0,62357085.0,685726838073.0,1746764462.0
20240709,SSE,756091803578.0,30104974336.0,30750136749.0,20693135140.0,136715906.0,776784938718.0,4413917640.0
20240709,BSE,1031771786.0,26622237.0,90801707.0,249239.0,39635.0,1032021025.0,51123.0
20240709,SZSE,675236487262.0,29519012511.0,29228285219.0,11144669268.0,68393289.0,686381156530.0,1756538473.0
20240708,BSE,1033262756.0,26194249.0,94359071.0,81969.0,1000.0,1033344725.0,12488.0
20240708,SSE,756755681180.0,22839298891.0,25493711572.0,20433527680.0,130482769.0,777189208860.0,4416632631.0
20240708,SZSE,674986436594.0,19997432184.0,34477333558.0,11014155176.0,74893873.0,686000591770.0,1780809155.0
20240705,SSE,759423798637.0,24106851721.0,26780822389.0,20687028481.0,114776004.0,780110827118.0,4392429359.0
20240705,BSE,1034563306.0,24259859.0,88752028.0,111439.0,16842.0,1034674745.0,17302.0
20240705,SZSE,677018298811.0,19312761317.0,21542858650.0,11202850132.0,50988547.0,688221148943.0,1766967467.0
20240704,BSE,1044147447.0,32044253.0,101655967.0,222922.0,7827.0,1044370369.0,16420.0
20240704,SSE,762110030420.0,23049898752.0,26660175948.0,20525700390.0,168199433.0,782635730810.0,4392855312.0
20240704,SZSE,679259836965.0,20679866430.0,23570787200.0,11176147304.0,80212790.0,690435984269.0,1780167865.0
20240703,SSE,765737695477.0,23716251361.0,23814903010.0,20674922063.0,110399622.0,786412617540.0,4342010713.0
20240703,BSE,1043934611.0,28132698.0,98597449.0,111184.0,0.0,1044045795.0,10093.0
20240703,SZSE,682192939651.0,20811484250.0,21670742601.0,11276282721.0,63776549.0,693469222372.0,1755793753.0
20240702,SSE,765841762398.0,25348616384.0,25160102635.0,20794515796.0,168087384.0,786636278194.0,4385577692.0
